Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node
572.367,0.845678,646172,11,0,18281.2,1518.75,1640.62,1218.75,6058710,0,0,11,0.767907,1.0625,1.16703,0.845678,36562.5,3037.5,3281.25,2437.5,12117400,1216.27,12162700
504.957,0.787354,457856,12,0,20109.4,1670.62,1804.69,1340.62,4722570,0,0,12,0.692586,0.994509,1.03875,0.787354,40218.8,3341.25,3609.38,2681.25,9445130,863.18,9494980
606.582,0.642436,389539,10,0,16453.1,1366.87,1476.56,1096.88,3287490,0,0,10,0.596539,0.702816,0.749286,0.642436,32906.2,2733.75,2953.12,2193.75,6574980,735.085,6615770
459.759,0.705667,411055,14,0,23765.6,1974.38,2132.81,1584.38,5010830,0,0,14,0.640847,0.808355,0.834609,0.705667,47531.2,3948.75,4265.62,3168.75,10021700,775.429,10080600
533.871,0.812939,606000,12,0,20109.4,1670.62,1804.69,1340.62,6250300,0,0,12,0.702939,0.995297,1.1098,0.812939,40218.8,3341.25,3609.38,2681.25,12500600,1140.95,12550500
483.516,0.742144,407391,13,0,21937.5,1822.5,1968.75,1462.5,4584160,0,0,13,0.625517,0.860879,0.883507,0.742144,43875,3645,3937.5,2925,9168320,768.558,9222700
590.822,0.744973,509506,11,0,18281.3,1518.75,1640.62,1218.75,4777460,0,0,11,0.686305,0.829621,0.867383,0.744973,36562.5,3037.5,3281.25,2437.5,9554920,960.024,9600240
532.014,0.711303,509570,12,0,20109.4,1670.62,1804.69,1340.62,5255870,0,0,12,0.666501,0.749411,0.835956,0.711303,40218.8,3341.25,3609.38,2681.25,10511700,960.144,10561600
580.093,0.902681,594149,11,0,18281.3,1518.75,1640.62,1218.75,5570990,0,0,11,0.805766,1.22612,1.30296,0.902681,36562.5,3037.5,3281.25,2437.5,11142000,1118.73,11187300
518.285,0.743848,584460,10,0,16453.1,1366.87,1476.56,1096.88,4932140,0,0,10,0.712593,0.79259,0.897001,0.743848,32906.2,2733.75,2953.12,2193.75,9864290,1100.56,9905080
527.739,0.88325,635086,12,0,20109.4,1670.62,1804.69,1340.62,6550250,0,0,12,0.789948,1.14678,1.25555,0.88325,40218.8,3341.25,3609.38,2681.25,13100500,1195.49,13150400
615.562,0.799599,516198,10,0,16453.1,1366.87,1476.56,1096.88,4356180,0,0,10,0.669203,1.01048,1.07695,0.799599,32906.2,2733.75,2953.12,2193.75,8712350,972.571,8753140
1578.98,0.7468,673913,4,0,5484.38,455.625,492.187,365.625,1895630,0,0,4,0.568162,0.986496,1.03271,0.7468,10968.8,911.25,984.375,731.25,3791270,1268.29,3804860
596.031,0.711326,455996,11,0,18281.3,1518.75,1640.62,1218.75,4275800,0,0,11,0.636667,0.799201,0.827051,0.711326,36562.5,3037.5,3281.25,2437.5,8551600,859.692,8596920
415.77,0.78698,467254,15,0,25593.8,2126.25,2296.88,1706.25,6133890,0,0,15,0.650265,0.994336,1.07234,0.78698,51187.5,4252.5,4593.75,3412.5,12267800,880.802,12331200
452.954,0.765848,565624,14,0,23765.6,1974.38,2132.81,1584.38,6894640,0,0,14,0.608292,0.908287,1.00163,0.765848,47531.2,3948.75,4265.62,3168.75,13789300,1065.25,13848200
722.629,0.841513,662333,9,0,14625,1215,1312.5,975,4968170,0,0,9,0.797023,0.997639,1.11507,0.841513,29250,2430,2625,1950,9936340,1246.57,9972600
640.022,0.795413,600173,10,0,16453.1,1366.87,1476.56,1096.88,5064720,0,0,10,0.751953,0.873435,0.972134,0.795413,32906.2,2733.75,2953.12,2193.75,10129400,1130.02,10170200
542.994,0.791119,457373,12,0,20109.4,1670.62,1804.69,1340.62,4717590,0,0,12,0.765354,0.982364,1.01682,0.791119,40218.8,3341.25,3609.38,2681.25,9435180,862.276,9485030
454.561,0.782377,471388,14,0,23765.6,1974.38,2132.81,1584.38,5746140,0,0,14,0.738834,0.949851,0.982396,0.782377,47531.2,3948.75,4265.62,3168.75,11492300,888.553,11551200
423.183,0.7603,392321,14,0,23765.6,1974.38,2132.81,1584.38,4782510,0,0,14,0.663345,0.95889,0.981899,0.7603,47531.2,3948.75,4265.62,3168.75,9565010,740.302,9623930
495.466,0.721454,464850,12,0,20109.4,1670.62,1804.69,1340.62,4794690,0,0,12,0.663638,0.829317,0.902464,0.721454,40218.8,3341.25,3609.38,2681.25,9589390,876.294,9639240
455.99,0.856325,628259,14,0,23765.6,1974.38,2132.81,1584.38,7658000,0,0,14,0.756426,1.08716,1.18883,0.856325,47531.2,3948.75,4265.62,3168.75,15316000,1182.69,15374900
449.183,0.764621,668752,14,0,23765.6,1974.38,2132.81,1584.38,8151510,0,0,14,0.737186,0.829942,0.843226,0.764621,47531.2,3948.75,4265.62,3168.75,16303000,1258.61,16361900
840.634,0.701385,354691,7,0,10968.8,911.25,984.375,731.25,1995640,0,0,7,0.6334,0.810344,0.844582,0.701385,21937.5,1822.5,1968.75,1462.5,3991290,669.747,4018480
490.727,0.887158,625827,13,0,21937.5,1822.5,1968.75,1462.5,7041560,0,0,13,0.801176,1.15063,1.24127,0.887158,43875,3645,3937.5,2925,14083100,1178.13,14137500
441.356,0.773098,618543,8,0,12796.9,1063.12,1148.44,853.125,4059780,0,0,8,0.680853,0.894507,0.949629,0.773098,25593.8,2126.25,2296.88,1706.25,8119550,1164.47,8151280
372.127,0.796726,537918,17,0,29250,2430,2625,1950,8070120,0,0,17,0.708862,0.978361,1.0427,0.796726,58500,4860,5250,3900,16140200,1013.3,16212800
540.02,0.775022,430959,11,0,18281.3,1518.75,1640.62,1218.75,4041090,0,0,11,0.676917,0.986722,1.05401,0.775022,36562.5,3037.5,3281.25,2437.5,8082170,812.749,8127490
428.975,0.794708,485281,12,0,20109.4,1670.62,1804.69,1340.62,5005390,0,0,12,0.715496,1.02715,1.07542,0.794708,40218.8,3341.25,3609.38,2681.25,10010800,914.602,10060600
747.226,0.893706,772806,9,0,14625,1215,1312.5,975,5796720,0,0,9,0.647971,1.17288,1.20052,0.893706,29250,2430,2625,1950,11593400,1453.71,11629700
586.289,0.751847,575478,10,0,16453.1,1366.87,1476.56,1096.88,4856360,0,0,10,0.697807,0.78886,0.887863,0.751847,32906.2,2733.75,2953.12,2193.75,9712710,1083.72,9753500
750.382,0.793065,463760,7,0,10968.8,911.25,984.375,731.25,2609160,0,0,7,0.726917,1.01247,1.05379,0.793065,21937.5,1822.5,1968.75,1462.5,5218310,874.251,5245500
819.816,0.734111,558228,8,0,12796.9,1063.12,1148.44,853.125,3663960,0,0,8,0.648697,0.834026,0.85644,0.734111,25593.8,2126.25,2296.88,1706.25,7327920,1051.38,7359640
660.432,0.812636,724237,8,0,12796.9,1063.12,1148.44,853.125,4753390,0,0,8,0.765763,0.862735,0.988143,0.812636,25593.8,2126.25,2296.88,1706.25,9506790,1362.64,9538510
585.95,0.835917,605493,10,0,16453.1,1366.87,1476.56,1096.88,5109600,0,0,10,0.749669,1.03024,1.17849,0.835917,32906.2,2733.75,2953.12,2193.75,10219200,1140,10260000
559.698,0.671485,522543,11,0,18281.3,1518.75,1640.62,1218.75,4899680,0,0,11,0.602118,0.737494,0.79176,0.671485,36562.5,3037.5,3281.25,2437.5,9799360,984.468,9844680
582.991,0.822386,657387,10,0,16453.1,1366.87,1476.56,1096.88,5547460,0,0,10,0.724818,0.967011,1.0161,0.822386,32906.2,2733.75,2953.12,2193.75,11094900,1237.3,11135700
518.881,0.886131,658403,10,0,16453.1,1366.87,1476.56,1096.88,5556040,0,0,10,0.809653,1.14364,1.25813,0.886131,32906.2,2733.75,2953.12,2193.75,11112100,1239.21,11152900
367.994,0.656419,385235,17,0,29250,2430,2625,1950,5779870,0,0,17,0.619247,0.71473,0.726405,0.656419,58500,4860,5250,3900,11559700,727.016,11632300
517.641,0.82035,475198,11,0,18281.3,1518.75,1640.62,1218.75,4455820,0,0,11,0.762012,1.05922,1.13596,0.82035,36562.5,3037.5,3281.25,2437.5,8911650,895.697,8956960
580.66,0.787627,591857,10,0,16453.1,1366.87,1476.56,1096.88,4994550,0,0,10,0.707423,0.921784,0.949004,0.787627,32906.2,2733.75,2953.12,2193.75,9989100,1114.43,10029900
515.13,0.705114,551064,12,0,20109.4,1670.62,1804.69,1340.62,5683770,0,0,12,0.660473,0.755272,0.801273,0.705114,40218.8,3341.25,3609.38,2681.25,11367500,1037.94,11417400
1267.6,0.897546,585971,5,0,7312.5,607.5,656.25,487.5,2197730,0,0,5,0.804439,1.2282,1.27143,0.897546,14625,1215,1312.5,975,4395460,1103.4,4413580
441.175,0.857515,554224,13,0,21937.5,1822.5,1968.75,1462.5,6236030,0,0,13,0.740077,1.13212,1.2236,0.857515,43875,3645,3937.5,2925,12472100,1043.87,12526400
991.677,0.769346,628726,7,0,10968.8,911.25,984.375,731.25,3537090,0,0,7,0.68318,0.869062,0.878572,0.769346,21937.5,1822.5,1968.75,1462.5,7074180,1183.56,7101370
621.279,0.706129,520905,9,0,14625,1215,1312.5,975,3907460,0,0,9,0.650614,0.787116,0.832724,0.706129,29250,2430,2625,1950,7814920,981.397,7851180
521.477,0.752537,409274,9,0,14625,1215,1312.5,975,3070230,0,0,9,0.661773,0.921069,0.967572,0.752537,29250,2430,2625,1950,6140460,772.09,6176720
533.207,0.722909,360644,12,0,20109.4,1670.62,1804.69,1340.62,3720070,0,0,12,0.66221,0.85636,0.914912,0.722909,40218.8,3341.25,3609.37,2681.25,7440140,680.909,7490000
775.705,0.943365,714262,8,0,12796.9,1063.12,1148.44,853.125,4687940,0,0,8,0.799863,1.27706,1.39159,0.943365,25593.8,2126.25,2296.88,1706.25,9375880,1343.94,9407600
516.627,0.881037,760126,12,0,20109.4,1670.62,1804.69,1340.62,7839730,0,0,12,0.686959,1.12129,1.20197,0.881037,40218.8,3341.25,3609.38,2681.25,15679500,1429.94,15729300
532.498,0.795797,536837,12,0,20109.4,1670.62,1804.69,1340.62,5537060,0,0,12,0.676665,1.0054,1.10315,0.795797,40218.8,3341.25,3609.38,2681.25,11074100,1011.27,11124000
690.334,0.729491,454083,7,0,10968.7,911.25,984.375,731.25,2554720,0,0,7,0.666985,0.870523,0.93077,0.729491,21937.5,1822.5,1968.75,1462.5,5109440,856.106,5136640
586.037,0.809163,436013,11,0,18281.3,1518.75,1640.62,1218.75,4088460,0,0,11,0.769523,1.03616,1.06439,0.809163,36562.5,3037.5,3281.25,2437.5,8176920,822.224,8222240
746.08,0.674851,414006,9,0,14625,1215,1312.5,975,3105720,0,0,9,0.6465,0.711692,0.730506,0.674851,29250,2430,2625,1950,6211440,780.962,6247700
725.091,0.851845,643812,9,0,14625,1215,1312.5,975,4829270,0,0,9,0.82566,0.978922,1.03866,0.851845,29250,2430,2625,1950,9658530,1211.85,9694790
615.62,0.885673,732029,10,0,16453.1,1366.87,1476.56,1096.88,6177250,0,0,10,0.814196,1.08375,1.18895,0.885673,32906.2,2733.75,2953.12,2193.75,12354500,1377.25,12395300
693.898,0.752981,366198,9,0,14625,1215,1312.5,975,2747160,0,0,9,0.668537,0.895589,0.927563,0.752981,29250,2430,2625,1950,5494310,691.321,5530570
1116.03,0.737162,329200,6,0,9140.63,759.375,820.312,609.375,1543540,0,0,6,0.67022,0.930045,0.971915,0.737162,18281.2,1518.75,1640.62,1218.75,3087090,621.95,3109750
1153.58,0.721232,495276,6,0,9140.63,759.375,820.312,609.375,2322030,0,0,6,0.661018,0.818773,0.848512,0.721232,18281.2,1518.75,1640.62,1218.75,4644050,933.342,4666710
567.284,0.782841,468419,6,0,9140.63,759.375,820.312,609.375,2196140,0,0,6,0.689497,0.991239,1.07558,0.782841,18281.2,1518.75,1640.62,1218.75,4392270,882.987,4414930
735.415,0.738422,482218,9,0,14625,1215,1312.5,975,3617310,0,0,9,0.673366,0.841643,0.8677,0.738422,29250,2430,2625,1950,7234630,908.86,7270880
625.615,0.775281,738969,10,0,16453.1,1366.87,1476.56,1096.88,6235810,0,0,10,0.696291,0.84746,0.885811,0.775281,32906.2,2733.75,2953.12,2193.75,12471600,1390.27,12512400
517.052,0.759304,590575,12,0,20109.4,1670.63,1804.69,1340.62,6091240,0,0,12,0.712741,0.805857,0.877225,0.759304,40218.8,3341.25,3609.37,2681.25,12182500,1112.03,12232300
927.973,0.857874,622630,7,0,10968.8,911.25,984.375,731.25,3502800,0,0,7,0.789483,1.03517,1.15893,0.857874,21937.5,1822.5,1968.75,1462.5,7005600,1172.13,7032800
451.212,0.915717,644458,11,0,18281.3,1518.75,1640.62,1218.75,6042640,0,0,11,0.807893,1.24709,1.3386,0.915717,36562.5,3037.5,3281.25,2437.5,12085300,1213.06,12130600
412.706,0.789512,414190,14,0,23765.6,1974.38,2132.81,1584.38,5049030,0,0,14,0.722448,1.00162,1.06269,0.789512,47531.2,3948.75,4265.62,3168.75,10098100,781.306,10157000
410.807,0.807032,589718,15,0,25593.8,2126.25,2296.88,1706.25,7741230,0,0,15,0.703147,0.957822,1.06773,0.807032,51187.5,4252.5,4593.75,3412.5,15482500,1110.42,15545900
459.867,0.811842,500534,14,0,23765.6,1974.38,2132.81,1584.38,6101360,0,0,14,0.733519,1.02415,1.10823,0.811842,47531.2,3948.75,4265.62,3168.75,12202700,943.202,12261600
538.132,0.800546,574545,12,0,20109.4,1670.62,1804.69,1340.62,5925920,0,0,12,0.686726,0.989598,1.09981,0.800546,40218.8,3341.25,3609.37,2681.25,11851800,1081.97,11901700
494.366,0.745328,358722,12,0,20109.4,1670.62,1804.69,1340.62,3700250,0,0,12,0.593446,0.914479,0.934888,0.745328,40218.8,3341.25,3609.38,2681.25,7400500,677.304,7450350
