Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Longest Fork,Blocks in Forks,Connections,Mined Blocks in Main Chain,Is Attacker
663.42,0.453576,512711,902,240,272,2197.81,452591,0.3,14,1226550,1220140,34020,101898,110075,144885,75360,81770,338564268,678523575,11,480,15,103,1
631.758,0.503817,511643,950,264,290,2065.98,446583,0.3,14,1285050,1273120,34020,106758,115325,141240,73740,85670,355620155,688203585,10,527,15,100,1
654.741,0.469766,504178,915,269,292,2051.6,460249,0.3,11,1212900,1190210,26730,100764,108850,111495,58170,80860,326874277,569129295,8,538,15,79,1
629.717,0.468458,499138,952,266,277,2161.38,452473,0.3,9,1314300,1274470,21870,109188,117950,91665,47790,87620,349281221,410193630,9,532,15,65,1
616.01,0.461974,521217,974,273,304,1956.01,458234,0.3,15,1304550,1297050,36450,108378,117075,152370,79470,86970,367900094,697839750,8,546,15,108,1
613.645,0.519857,524822,978,255,286,2095.15,437576,0.3,12,1347450,1319900,29160,111942,120925,118980,62280,89830,387605670,531900345,7,510,15,84,1
619.45,0.448905,502618,965,272,307,1943.71,450617,0.3,14,1281150,1268940,34020,106434,114975,140025,73200,85410,346009559,727376355,9,544,15,99,1
649.241,0.481847,486271,925,261,286,2080.77,424051,0.3,11,1244100,1220410,26730,103356,111650,113925,59250,82940,328189072,542109585,9,522,15,81,1
597.168,0.541279,521800,1005,277,300,1986.33,441859,0.3,12,1372800,1345720,29160,114048,123200,123840,64440,91520,391410261,547956525,9,553,15,88,1
642.625,0.48187,515817,934,247,264,2260.98,448503,0.3,9,1304550,1265370,21870,108378,117075,91665,47790,86970,362802933,438284970,8,494,15,65,1
613.48,0.490085,499026,978,276,313,1907.54,456549,0.3,18,1294800,1306220,43740,107568,116200,188190,97740,86320,344820928,927228480,9,552,15,134,1
594.308,0.476153,501980,1010,280,305,1966.13,438519,0.3,11,1372800,1338910,26730,114048,123200,110280,57630,91520,372437722,455755650,8,560,15,78,1
576.449,0.479471,511597,1041,304,317,1881.7,436863,0.3,8,1409850,1357920,19440,117126,126525,80535,42060,93990,393401933,402527895,10,607,15,57,1
637.162,0.440733,497774,942,263,298,2008.37,435143,0.3,15,1253850,1249190,36450,104166,112525,151155,78930,83590,338549618,721761165,11,526,15,107,1
648.621,0.504203,518022,923,237,269,2225.73,462188,0.3,12,1273350,1250740,29160,105786,114275,118980,62280,84890,353801146,579022275,8,473,15,84,1
649.034,0.513384,500168,925,254,263,2247.05,438265,0.3,4,1288950,1224860,9720,107082,115675,42090,21840,85930,346900585,202996200,10,507,15,30,1
636.908,0.490107,504060,942,252,272,2198,443968,0.3,7,1304550,1254990,17010,108378,117075,71835,37410,86970,353473779,368636265,8,504,15,51,1
640.904,0.466477,517062,936,280,310,1920.5,449326,0.3,16,1218750,1222160,38880,101250,109375,162285,84660,81250,344379858,795008415,9,559,15,115,1
640.228,0.473945,510254,937,251,276,2172.65,457276,0.3,10,1287000,1254180,24300,106920,115500,101580,52980,85800,351897095,456293460,8,502,15,72,1
603.027,0.455378,497370,995,286,324,1834.49,442165,0.3,19,1306500,1319630,46170,108540,117250,192030,100230,87100,351031261,872838090,8,571,15,136,1
630.642,0.45217,523802,952,258,276,2159.29,462106,0.3,10,1316250,1282560,24300,109350,118125,104010,54060,87750,370652824,545558505,9,516,15,74,1
633.532,0.49833,507240,946,269,295,2029.6,450580,0.3,15,1267500,1264630,36450,105300,113750,157230,81630,84500,346397233,845418330,9,538,15,112,1
605.843,0.460733,497489,990,278,304,1966.91,424495,0.3,10,1335750,1298600,24300,110970,119875,99150,51900,89050,362833581,453995640,7,555,15,70,1
603.19,0.472297,487692,995,276,307,1953.47,462989,0.3,14,1339650,1324080,34020,111294,120225,141240,73740,89310,342761815,722325870,13,552,15,100,1
612.315,0.474051,507559,980,278,297,2017.23,416961,0.3,12,1329900,1307300,29160,110484,119350,127485,66060,88660,372768427,548533875,10,556,15,91,1
630.973,0.513284,515472,952,258,287,2089.52,466268,0.3,12,1294800,1271840,29160,107568,116200,121410,63360,86320,356486746,659011305,7,516,15,86,1
632.104,0.477023,518383,949,258,284,2110.24,465353,0.3,10,1294800,1264160,24300,107568,116200,107655,55680,86320,359088955,538183635,10,516,15,77,1
655.075,0.495334,513104,916,243,264,2271.72,432740,0.3,8,1269450,1226340,19440,105462,113925,79320,41520,84630,354852272,375495375,9,485,15,56,1
615.143,0.518444,531029,976,267,277,2159.82,486036,0.3,5,1361100,1296310,12150,113076,122150,49575,25950,90740,382827478,264498015,10,534,15,35,1
649,0.47662,514079,925,260,287,2089.24,436921,0.3,12,1242150,1222700,29160,103194,111475,121410,63360,82810,349550680,581393400,8,520,15,86,1
612.003,0.477665,531999,981,254,285,2095.95,457643,0.3,11,1355250,1323070,26730,112590,121625,111495,58170,90350,390830742,501228180,8,508,15,79,1
629.645,0.47367,507924,953,260,278,2156.18,451549,0.3,8,1314300,1268200,19440,109188,117950,79320,41520,87620,358298699,363593865,9,520,15,56,1
642.645,0.475401,522720,933,261,282,2114.93,436818,0.3,8,1267500,1226140,19440,105300,113750,82965,43140,84500,364037849,392086605,9,522,15,59,1
624.718,0.466808,505492,961,282,307,1952.69,467914,0.3,12,1273350,1253980,29160,105786,114275,126270,65520,84890,341708258,573352155,11,564,15,90,1
670.457,0.537745,506479,896,223,243,2466.96,427745,0.3,6,1271400,1217780,14580,105624,114100,59490,31140,84760,348826647,226209285,8,446,15,42,1
671.167,0.48215,485774,893,258,275,2178.72,440454,0.3,7,1203150,1162510,17010,99954,107975,76695,39570,80210,312429140,368440830,14,516,15,55,1
634.368,0.476943,498034,946,261,296,2025.33,462088,0.3,16,1265550,1267460,38880,105138,113575,165930,86280,84370,333921199,844085025,10,522,15,118,1
