Is Attacker,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Longest Fork,Blocks in Forks,Connections,Mined Blocks in Main Chain,Mean Block Receive Time.1,Mean Block Propagation Time.1,Mean Block Size.1,Total Blocks.1,Stale Blocks.1,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Longest Fork.1,Blocks in Forks.1,Mined Blocks in Main Chain.1,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node
0,533.188,0.978213,360644,12,0,0,0.0,0,0.002,0,21450,20020,0,1782,1925,0,0,1430,3968077,0,0,0,15,0,533.207,0.722909,360644,12.0,0,20109.4,1670.62,1804.69,1340.62,3720070,0.0,0.0,12,0.66221,0.85636,0.914912,0.722909,40218.8,3341.25,3609.37,2681.25,7440140,680.909,7490000
0,1579.07,0.732247,673913,4,0,0,0.0,0,0.002,0,5850,5460,0,486,525,0,0,390,2022010,0,0,0,15,0,1578.98,0.7468,673913,4.0,0,5484.38,455.625,492.187,365.625,1895630,0.0,0.0,4,0.568162,0.986496,1.03271,0.7468,10968.8,911.25,984.375,731.25,3791270,1268.29,3804860
1,601.325,0.483448,515812,996,265,274,2185.24,501020,0.3,7,1405950,1349090,17010,116802,126175,70620,36870,93730,375928005,418438320,9,530,15,50,762.895,202.504,523058,786.0,55,1405700.0,110565.0,122703.0,90176.3,378585000,7.125,110.0,731,219.743,220.042,220.087,206.167,2811390.0,221130.0,245406.0,180352.0,757170000,968.953,760628000
1,619.687,0.45982,515395,965,276,304,1960.92,461987,0.3,13,1287000,1269210,31590,106920,115500,130110,68010,85800,356309307,625711725,9,552,15,92,780.796,422.905,528119,766.0,77,1367790.0,102212.0,116413.0,84688.1,373147000,7.125,154.5,689,458.82,459.22,459.269,430.339,2735580.0,204424.0,232826.0,169376.0,746294000,979.916,749636000
1,649.0,0.47662,514079,925,260,287,2089.24,436921,0.3,12,1242150,1222700,29160,103194,111475,121410,63360,82810,349550680,581393400,8,520,15,86,812.659,380.0,535202,736.0,73,1315210.0,98566.9,112096.0,81594.4,364041000,7.0625,146.875,663,412.129,412.535,412.571,386.586,2630430.0,197134.0,224192.0,163189.0,728082000,994.961,731297000
0,586.318,0.912572,575478,10,0,0,0.0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5180112,0,0,0,15,0,586.289,0.751847,575478,10.0,0,16453.1,1366.87,1476.56,1096.88,4856360,0.0,0.0,10,0.697807,0.78886,0.887863,0.751847,32906.2,2733.75,2953.12,2193.75,9712710,1083.72,9753500
0,476.54,1.20576,565725,8,0,0,0.0,0,0.002,0,13650,12740,0,1134,1225,0,0,910,3960707,0,0,0,15,0,476.477,0.843756,565725,8.0,0,12796.9,1063.12,1148.44,853.125,3713160,0.0,0.0,8,0.800122,1.04929,1.14366,0.843756,25593.8,2126.25,2296.88,1706.25,7426330,1065.44,7458050
0,660.399,1.03884,724237,8,0,0,0.0,0,0.002,0,13650,12740,0,1134,1225,0,0,910,5070287,0,0,0,15,0,660.432,0.812636,724237,8.0,0,12796.9,1063.12,1148.44,853.125,4753390,0.0,0.0,8,0.765763,0.862735,0.988143,0.812636,25593.8,2126.25,2296.88,1706.25,9506790,1362.64,9538510
0,586.676,0.939199,395836,11,0,0,0.0,0,0.002,0,19500,18200,0,1620,1750,0,0,1300,3959265,0,0,0,15,0,586.638,0.718881,395836,11.0,0,18281.3,1518.75,1640.62,1218.75,3711810,0.0,0.0,11,0.691152,0.85408,0.904384,0.718881,36562.5,3037.5,3281.25,2437.5,7423620,746.894,7468940
1,662.536,0.48218,511413,906,252,272,2195.16,492944,0.3,8,1234350,1193580,19440,102546,110775,79320,41520,82290,328891857,367483140,10,504,15,56,853.649,295.18,512707,703.0,49,1255350.0,97351.9,108809.0,79741.9,331304000,6.25,99.0,654,320.87,321.128,321.159,300.946,2510700.0,194704.0,217618.0,159484.0,662608000,948.277,665690000
