Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Longest Fork,Blocks in Forks,Connections,Mined Blocks in Main Chain,Is Attacker,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node
618.282,0.453762,504271,971,274,311,1895.21,454151,0.3,15,1285050,1280470,36450,106758,115325,156015,81090,85670,347931283,757183035,11,548,15,111,1,766.471,532.09,516325,783,86,1399200,102364.0,117868,85383.8,373510000,11.0,173.0,697,576.521,576.989,577.029,540.709,2798390,204728,235736,170768,747019000,959.627,750429000
671.35,0.502138,507821,893,258,269,2220.39,453710,0.3,5,1214850,1160350,12150,100926,109025,50790,26490,80990,330980381,232114170,7,516,15,36,1,889.045,201.868,524168,674,39,1202000,95377.5,105385,77583.8,324801000,7.0,79.125,635,219.911,220.15,220.211,206.311,2404010,190755,210771,155168,649602000,969.633,652563000
574.581,0.464833,514425,1045,292,315,1902.64,454980,0.3,12,1421550,1391760,29160,118098,127575,125055,64980,94770,393926302,660018270,10,584,15,89,1,721.013,316.984,533647,833,80,1488620,112539.0,127417,92908.1,410557000,8.125,160.25,753,343.731,344.109,344.159,322.443,2977240,225079,254835,185816,821114000,991.295,824757000
629.131,0.470549,493750,954,263,288,2075.66,472688,0.3,12,1296750,1274740,29160,107730,116375,123840,64440,86450,334716779,578474625,8,526,15,88,1,783.707,466.981,495498,766,75,1369880,102819.0,116842,85074.4,349952000,8.0,151.0,691,506.143,506.546,506.575,474.715,2739760,205639,233683,170149,699903000,919.284,703253000
635.758,0.498339,517281,944,224,248,2409.39,458112,0.3,9,1355250,1311610,21870,112590,121625,89235,46710,90350,374118471,444828750,9,447,15,63,1,779.109,252.589,531427,770,50,1380960,106920.0,119601,87622.5,378538000,6.1875,101.062,720,273.36,273.632,273.662,256.429,2761920,213840,239201,175245,757076000,988.902,760466000
651.747,0.484721,511366,920,246,252,2372.04,461761,0.3,4,1300650,1234700,9720,108054,116725,39660,20760,86710,353935968,182196450,7,491,15,28,1,845.912,125.916,525413,710,36,1268430,101908.0,111908,82588.1,343202000,6.0625,71.9375,674,136.854,137.112,137.144,128.439,2536860,203816,223817,165176,686404000,972.545,689534000
626.161,0.494241,528132,958,266,293,2046.25,460169,0.3,12,1294800,1274540,29160,107568,116200,127485,66060,86320,370877192,600421320,9,531,15,91,1,781.261,401.022,542916,768,76,1373270,102668.0,116905,85053.8,385224000,9.0,153.188,692,434.656,435.07,435.111,407.711,2746540,205335,233811,170108,770447000,1008.87,773803000
608.746,0.472693,489070,985,265,296,2020.23,424774,0.3,12,1341600,1314440,29160,111456,120400,118980,62280,89440,355684992,549223020,6,530,15,84,1,762.892,379.645,506590,786,66,1404970,106312.0,120311,87742.5,367781000,6.0,132.5,720,411.683,411.967,412.116,386.144,2809940,212625,240622,175485,735562000,941.402,739001000
606.59,0.489342,492266,987,245,269,2227.49,411962,0.3,8,1398150,1346460,19440,116154,125475,79320,41520,93210,374661301,379396350,8,489,15,56,1,760.615,227.597,515358,787,46,1408910,110109.0,122590,89979.4,374957000,6.125,92.4375,741,246.783,247.037,247.12,231.504,2817820,220219,245181,179959,749914000,958.496,753378000
602.011,0.477186,486139,996,285,296,2024.21,432004,0.3,7,1363050,1309050,17010,113238,122325,70620,36870,90870,355775212,372064500,8,569,15,50,1,781.97,195.631,506251,765,55,1365480,107224.0,119093,87495.0,356793000,7.0625,110.562,710,212.778,212.996,213.074,199.632,2730950,214448,238187,174990,713587000,938.41,716945000
620.892,0.450919,508554,966,265,296,2015.73,453227,0.3,14,1304550,1290240,34020,108378,117075,138810,72660,86970,356650455,676061850,7,530,15,98,1,768.822,384.324,522506,780,79,1394770,103731.0,118433,86075.6,376614000,6.0625,158.75,701,416.324,416.718,416.749,390.509,2789540,207461,236867,172151,753227000,971.288,756633000
668.234,0.459484,522415,898,238,271,2209.92,454015,0.3,13,1220700,1207870,31590,101412,109550,131325,68550,81380,345406299,541439925,10,476,15,93,1,820.596,445.289,529899,731,71,1307370,97048.1,110911,80578.1,357658000,8.125,142.25,660,482.108,482.423,482.487,452.162,2614740,194096,221822,161156,715317000,984.258,718509000
616.736,0.513889,509584,972,246,270,2200.51,443702,0.3,11,1366950,1334530,26730,113562,122675,112710,58710,91130,374989919,575270145,8,492,15,80,1,755.236,339.743,527666,793,67,1421680,108135.0,122052,89103.7,387507000,8.0,135.75,726,367.667,367.992,368.142,344.894,2843370,216270,244104,178207,775015000,982.951,778497000
618.429,0.479649,508927,970,278,294,2029.8,450872,0.3,11,1316250,1291530,26730,109350,118125,122430,63030,87750,360825505,574077615,9,556,15,88,1,772.813,441.677,521886,776,84,1388070,104186.0,118394,86205.0,374154000,9.0,169.75,692,478.84,479.234,479.289,449.112,2776150,208372,236788,172410,748308000,969.937,751701000
636.018,0.479448,497519,943,248,268,2235.96,440201,0.3,8,1314300,1269280,19440,109188,117950,81750,42600,87620,350698496,372966450,10,496,15,58,1,803.726,285.911,511759,746,53,1333780,103579.0,115688,84806.2,352090000,7.1875,106.0,693,310.26,310.521,310.627,291.022,2667560,207158,231375,169612,704180000,949.606,707456000
668.821,0.459244,507802,898,233,260,2305.22,427974,0.3,8,1242150,1201400,19440,103194,111475,80535,42060,82810,343932029,357444600,8,466,15,57,1,848.934,221.753,528085,707,42,1264400,97959.4,109541,80263.1,344777000,7.0625,85.375,665,240.687,240.975,241.022,225.792,2528800,195919,219083,160526,689553000,981.101,692657000
593.061,0.487464,495358,1011,285,312,1914.35,424528,0.3,12,1361100,1334260,29160,113076,122150,122625,63900,90740,368299082,562556355,8,570,15,87,1,750.191,298.105,515166,800,74,1428470,107831.0,122180,89062.5,380440000,8.0,148.125,726,323.472,323.81,323.826,303.43,2856940,215662,244359,178125,760880000,956.665,764375000
644.926,0.513408,516655,930,226,239,2500.53,477488,0.3,8,1345500,1297320,19440,111780,120750,79320,41520,89700,366187564,409850160,8,452,15,56,1,790.411,313.879,526586,758,54,1359550,106009.0,118161,86688.7,368916000,6.125,108.875,704,339.741,340.03,340.054,318.677,2719100,212018,236321,173378,737833000,979.093,741174000
601.325,0.483448,515812,996,265,274,2185.24,501020,0.3,7,1405950,1349090,17010,116802,126175,70620,36870,93730,375928005,418438320,9,530,15,50,1,762.895,202.504,523058,786,55,1405700,110565.0,122703,90176.3,378585000,7.125,110.0,731,219.743,220.042,220.087,206.167,2811390,221130,245406,180352,757170000,968.953,760628000
