Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval
599.775,0.751617,657248,9600,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,9600,0,0,0,0
599.775,0.751617,657248,9760,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,9760,0,0,0,0
599.775,0.751617,657248,9920,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,9920,0,0,0,0
599.775,0.751617,657248,10080,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,10080,0,0,0,0
599.775,0.751617,657248,10240,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,10240,0,0,0,0
599.775,0.751617,657248,10400,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,10400,0,0,0,0
599.775,0.751617,657248,10560,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,10560,0,0,0,0
599.775,0.751617,657248,10720,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,10720,0,0,0,0
599.775,0.751617,657248,10880,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,10880,0,0,0,0
599.775,0.751617,657248,11040,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,11040,0,0,0,0
599.775,0.751617,657248,11200,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,11200,0,0,0,0
599.775,0.751617,657248,11360,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,11360,0,0,0,0
599.775,0.751617,657248,11520,0,16453.1,16453.1,1366.88,1366.87,1476.56,1476.56,1096.88,1096.88,5.54629e+06,5.54629e+06,0,0,0,0,0,0,0,0,0,0,0,0,11520,0,0,0,0
