Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval
770.719,615.878,533264,447948,54504,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,393444,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,460391,56018,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,404373,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,472834,57532,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,415302,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,485277,59046,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,426231,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,497720,60560,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,437160,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,510163,62074,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,448089,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,522606,63588,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,459018,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,535049,65102,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,469947,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,547492,66616,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,480876,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,559935,68130,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,491805,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,572378,69644,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,502734,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,584821,71158,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,513663,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,597264,72672,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,524592,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,609707,74186,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,535521,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,622150,75700,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,546450,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,634593,77214,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,557379,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,647036,78728,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,568308,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,659479,80242,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,579237,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,671922,81756,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,590166,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,684365,83270,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,601095,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,696808,84784,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,612024,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,709251,86298,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,622953,0,0,0,0,,,,,,,,,,
770.719,615.878,533264,721694,87812,1391000,1391000,100238,100237,116331,116331,84015,84015,383994000,383994000,8,189.188,633882,0,0,0,0,,,,,,,,,,
