,Feature1,Label
1710,-94243.29518997287,0
1711,-9677.346285368843,1
1712,-145021.41027147707,0
1713,59461.93859014287,0
1714,48946.94349796544,0
1715,6796.594365356158,1
1716,113556.07265294241,0
1717,242550.29212116898,0
1718,-8731.239882678145,1
1719,8424.700014931925,1
1720,-119201.35434544327,0
1721,132077.10337206352,0
1722,242550.2921200663,0
1723,-58868.25391056434,0
1724,-5979.266711929468,1
1725,121169.04786429869,0
1726,585.6659991522837,1
1727,-63002.26620357196,0
1728,13083.625045351324,1
1729,-9677.346285368843,1
1730,-117571.20234958157,0
1731,-1780.4806651961107,1
1732,3556.6399741925643,1
1733,128147.06862941511,0
1734,-22615.586657388692,1
1735,193981.19872513943,0
1736,115916.05552663295,0
1737,-201056.40130232973,0
1738,-12919.534554912714,1
1739,-42564.45833245424,1
1740,-14058.156546888957,0
1741,-23165.154279304203,0
1742,37202.93065215284,0
1743,-12935.323037320108,1
1744,-7274.461141384319,1
1745,6856.729778778001,1
1746,88286.99122451773,0
1747,88286.99122548259,0
1748,-12935.323037595781,1
1749,264.5562960723342,1
1750,-169880.4359079785,0
1751,6856.729778778001,1
1752,-74260.26015168474,0
1753,-7870.435316530135,1
1754,-201056.4013133566,0
1755,-134420.36242841772,0
1756,259186.29702947452,0
1757,-1350.4506732336908,1
1758,-108333.32629940503,0
1759,54203.94464532556,0
1760,6744.608974869104,1
1761,-14058.156560534719,0
1762,69916.98776115074,0
1763,132077.10337606075,0
1764,22408.75871281544,1
1765,-21607.57135439355,1
1766,15988.778249863582,1
1767,208713.21871538754,0
1768,115916.0555183628,0
1769,-8509.473597293716,1
1770,3556.6399741925643,1
1771,-6315.3160292784805,1
1772,-8509.473597293716,1
1773,3026.540088803177,1
1774,45221.938961629705,0
1775,-145021.4102705122,0
1776,69916.98775370758,0
1777,9991.624829818158,1
1778,-34824.49093735318,1
1779,-99297.30998134734,0
1780,13908.602803787911,1
1781,242550.2921189636,0
1782,-9514.373729639427,1
1783,69916.9877487455,0
1784,-145021.4102694095,0
1785,-116250.30989268672,0
1786,67880.96078693889,0
1787,-145021.4102780932,0
1788,-1350.4506730958549,1
1789,13940.60429794182,1
1790,92374.06505074074,0
1791,-48038.196978586224,0
1792,259186.29703540143,0
1793,13908.60280392575,1
1794,104830.0307313347,0
1795,-80597.27160933202,0
1796,-7274.461141522154,1
1797,-424.2871809236404,1
1798,-22615.586657250853,1
1799,35468.907349543995,0
1800,-5979.266711929468,1
1801,9210.56048517377,1
1802,44288.93067368024,0
1803,75236.98914921102,0
1804,-4392.159045354351,0
1805,-20686.17907956998,0
1806,-99757.30470262107,0
1807,20807.88822351142,0
1808,79825.96716625981,0
1809,259186.2970318177,0
1810,-17152.27009662177,1
1811,-22615.586657250853,1
1812,-17276.366857686073,1
1813,-20750.171105843016,0
1814,-20686.179084256404,0
1815,20870.67006401588,1
1816,13966.476075106071,1
1817,-74260.26015857654,0
1818,-9915.450137600059,1
1819,-20617.40644077449,1
1820,54203.9446577308,0
1821,54516.93864034453,0
1822,13083.625045351324,1
1823,9210.560485035932,1
1824,115916.05552428974,0
1825,-6575.297131985446,1
1826,-80597.27162077242,0
1827,-20694.383545809218,1
1828,-14058.156549921348,0
1829,104830.03074236157,0
1830,-793.4817871505675,1
1831,208713.2187090471,0
1832,5732.674947896253,1
1833,184006.19770701753,0
1834,-24764.493481544527,1
1835,127131.07586989253,0
1836,259186.29703416093,0
1837,-17436.368724189822,1
1838,9210.56048517377,1
1839,143657.24090203867,0
1840,-116066.35569448609,0
1841,-164058.39737754173,0
1842,-3606.2300864106724,1
1843,6979.712321163836,1
1844,9210.56048517377,1
1845,-20694.383545809218,1
1846,-20694.383545947054,1
1847,-9351.147755783028,0
1848,115916.05552856266,0
1849,-4392.159057483915,0
1850,-120982.3488933014,0
1851,6979.712321301673,1
1852,-7274.461141384319,1
1853,114202.03587842979,0
1854,-20694.383545947054,1
1855,-34611.522120893635,1
1856,-9915.450137737897,1
1857,-17436.368724189822,1
1858,113556.07266121257,0
1859,-22332.312997398352,1
1860,-134420.36242759074,0
1861,88286.99121197466,0
1862,585.6659991522837,1
1863,113556.07267458267,0
1864,-88575.28241765965,0
1865,-201056.40130922146,0
1866,19980.736883986225,1
1867,-4614.281360162538,1
1868,-4392.159046043531,0
1869,128147.06865188236,0
1870,-6575.29713184761,1
1871,-6575.29713184761,1
1872,229870.23905763362,0
1873,-6019.558261081622,1
1874,-88575.28241448941,0
1875,-38.47215309383265,1
1876,23967.883147702167,0
1877,-22224.318176294528,1
1878,-28864.406039054807,1
1879,184006.19770632833,0
1880,-20750.17110735921,0
1881,44288.93067492077,0
1882,-29722.20431577931,0
1883,-55058.23888559344,0
1884,-9512.411483583894,1
1885,-5272.347261109227,1
1886,-99297.30997652304,0
1887,-20764.562842958243,1
1888,-17245.15502749022,0
1889,-5635.547303238351,1
1890,8424.700014931925,1
1891,-7713.153474680581,0
1892,-4614.281360438209,1
1893,138496.07656113635,0
1894,-5635.547303100515,1
1895,5732.674947896253,1
1896,3556.6399744682367,1
1897,-8731.239882540309,1
1898,13083.625045213488,1
1899,6744.608974869104,1
1900,-3899.442413869056,1
1901,-145021.4102709257,0
1902,-4614.281360300373,1
1903,9210.560485035932,1
1904,229870.23905777145,0
1905,50066.94658127264,0
1906,-20002.370247752075,1
1907,55715.050256465656,0
1908,75743.98285765128,0
1909,-6454.362582048798,1
1910,-14861.438453877532,1
1911,201773.2055337538,0
1912,6833.550535096689,1
1913,54203.94465635245,0
1914,8877.539940821236,1
1915,-20694.383545809218,1
1916,13966.476075106071,1
1917,585.6659991522837,1
1918,-175565.39641149004,0
1919,-2124.3909970355508,1
1920,27971.94221609339,0
1921,-33618.452838566525,1
1922,8877.539940959072,1
1923,75743.98284772708,0
1924,60318.954751533456,0
1925,73507.03372494545,0
1926,3026.540088803177,1
1927,2125.5687138094254,1
1928,-31118.389351235262,1
1929,-169880.43590039754,0
1930,-22224.318176156692,1
1931,-1350.4506730958549,1
1932,-20694.383545947054,1
1933,3026.5400886653406,1
1934,-24266.376225763383,1
1935,6833.55053537236,1
1936,19980.736883986225,1
1937,-119201.35435274859,0
1938,-48038.19697321062,0
1939,-11794.430066222169,1
