Miner Avg Block Size,Hash Rate,Iteration,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic/node,Mean Block Size_x,Miner Avg Block Gen Interval,Label
514336.0,0.005,89,512.413,512.803,512.838,480.592,987.871,532938,119051.0,1
517259.0,0.005,86,396.405,396.735,396.869,371.82,921.732,496638,54048.1,1
561156.0,0.066,13,481.747,482.076,482.248,451.852,982.054,528906,10410.6,1
598367.0,0.012,31,434.656,435.07,435.111,407.711,1008.87,544165,48755.9,1
490014.0,0.005,99,614.206,614.689,614.819,576.086,944.735,508649,63839.0,1
692413.0,0.005,73,599.358,599.832,599.962,562.16,946.802,509492,66281.2,1
431678.0,0.012,64,481.747,482.076,482.248,451.852,982.054,528906,33257.8,1
937693.0,0.002,19,348.617,348.966,349.028,327.01,1017.86,551127,202858.0,1
419463.0,0.3,11,212.294,212.551,212.617,199.183,993.499,509440,2157.74,1
0.0,0.005,32,0.640847,0.808355,0.834609,0.705667,775.429,411055,0.0,0
563067.0,0.016,44,302.852,303.127,303.18,284.081,990.133,535989,34043.7,1
460249.0,0.3,65,461.6,461.978,462.02,432.939,962.396,504178,2051.6,1
249788.0,0.054,48,0.738834,0.949851,0.982396,0.782377,888.553,471388,2246.15,0
0.0,0.005,77,0.66221,0.85636,0.914912,0.722909,680.909,360644,0.0,0
425549.0,0.002,78,139.946,140.149,140.213,131.335,963.011,521525,109076.0,1
0.0,0.012,96,0.703147,0.957822,1.06773,0.807032,1110.42,589718,0.0,0
0.0,0.005,96,0.703147,0.957822,1.06773,0.807032,1110.42,589718,0.0,0
806441.0,0.005,1,611.904,612.378,612.423,573.893,973.376,524621,73374.8,1
436787.0,0.029,56,447.982,448.344,448.424,420.18,918.404,495432,23405.8,1
628237.0,0.005,48,348.843,349.115,349.154,327.194,960.232,518561,72099.5,1
0.0,0.012,71,0.660473,0.755272,0.801273,0.705114,1037.94,551064,0.0,0
440300.0,0.3,5,447.982,448.344,448.424,420.18,918.404,483264,1840.41,1
535588.0,0.012,78,139.946,140.149,140.213,131.335,963.011,521525,61678.1,1
490697.0,0.133,19,0.628019,0.811891,0.859728,0.715855,966.596,513011,856.859,0
398462.0,0.159,19,0.628019,0.811891,0.859728,0.715855,966.596,513011,1270.78,0
124329.0,0.196,49,0.663345,0.95889,0.981899,0.7603,740.302,392321,1225.27,0
0.0,0.066,98,0.686726,0.989598,1.09981,0.800546,1081.97,574545,0.0,0
0.0,0.012,65,0.602118,0.737494,0.79176,0.671485,984.468,522543,0.0,0
585364.0,0.029,97,195.433,195.635,195.658,183.335,970.88,524277,21932.4,1
685044.0,0.009,90,253.414,253.693,253.735,237.726,993.679,537236,35623.7,1
0.0,0.054,51,0.756426,1.08716,1.18883,0.856325,1182.69,628259,0.0,0
524099.0,0.002,18,458.82,459.22,459.269,430.339,979.916,529206,137831.0,1
0.0,0.002,45,0.797023,0.997639,1.11507,0.841513,1246.57,662333,0.0,0
552660.0,0.159,26,219.911,220.15,220.211,206.311,969.633,525642,4339.28,1
539253.0,0.159,9,259.097,259.361,259.451,243.053,997.652,539061,3995.18,1
0.0,0.002,8,0.613007,0.833959,0.881533,0.708761,795.806,421923,0.0,0
478904.0,0.133,99,614.206,614.689,614.819,576.086,944.735,508649,5613.6,1
