Mean Block Receive Time_x,Mean Block Propagation Time_x,Mean Block Size_x,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Iteration,Mean Block Receive Time_y,Mean Block Propagation Time_y,Mean Block Size_y,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node,Label
527.786,1.14678,635086,0,0.0,0.0,0.012,21450,20020,0,1782,1925,0,0,1430,6986936,0,39,527.739,0.88325,635086,20109.4,1670.62,1804.69,1340.62,6550250,0.789948,1.14678,1.25555,0.88325,40218.8,3341.25,3609.38,2681.25,13100500,1195.49,13150400,0
743.625,630.556,507641,6,96809.6,540696.0,0.005,1549002,1467700,14580,110646,129002,15750,11700,93002,405975748,48670785,82,732.945,582.511,506861,1463160.0,104642.0,121924.0,87920.6,383644000,630.126,630.556,630.642,590.985,2926320.0,209284.0,243848.0,175841.0,767288000,943.505,770844000,1
527.779,1.25555,635086,0,0.0,0.0,0.005,21450,20020,0,1782,1925,0,0,1430,6986936,0,39,527.739,0.88325,635086,20109.4,1670.62,1804.69,1340.62,6550250,0.789948,1.14678,1.25555,0.88325,40218.8,3341.25,3609.38,2681.25,13100500,1195.49,13150400,0
796.873,352.049,533813,6,97246.2,461656.0,0.005,1443844,1365780,14580,108540,123244,15750,11700,89764,397650355,41557170,88,783.946,324.658,532384,1364570.0,102668.0,116526.0,84885.0,375395000,351.863,352.245,352.284,330.08,2729140.0,205335.0,233051.0,169770.0,750789000,989.667,754126000,1
743.624,630.642,507641,6,67505.4,321455.0,0.005,1549002,1467700,14580,110646,129002,15750,11700,93002,407291195,28939080,82,732.945,582.511,506861,1463160.0,104642.0,121924.0,87920.6,383644000,630.126,630.556,630.642,590.985,2926320.0,209284.0,243848.0,175841.0,767288000,943.505,770844000,1
819.567,258.967,539061,150,3995.18,539253.0,0.159,1130106,1351740,364500,86022,97056,393750,292500,70866,313752343,1213520910,60,804.783,238.687,537262,1333690.0,103427.0,115599.0,84718.1,369988000,259.097,259.361,259.451,243.053,2667390.0,206854.0,231199.0,169436.0,739976000,997.652,743251000,1
585.979,0.427539,436013,0,0.0,0.0,0.066,19500,18200,0,1620,1750,0,0,1300,4361026,0,82,586.037,0.809163,436013,18281.3,1518.75,1640.62,1218.75,4088460,0.769523,1.03616,1.06439,0.809163,36562.5,3037.5,3281.25,2437.5,8176920,822.224,8222240,0
806.999,213.47,523707,10,58619.9,433200.0,0.012,1424274,1353560,24300,109998,123199,26250,19500,90214,384843511,64993500,20,792.032,196.381,522566,1353540.0,104642.0,117140.0,85794.4,364853000,213.225,213.534,213.556,200.067,2707080.0,209284.0,234279.0,171589.0,729706000,968.333,733028000,1
757.898,447.79,495432,166,3606.86,487388.0,0.185,1208058,1459380,403380,86022,100458,435750,323700,72378,310532379,1213820625,56,745.131,413.137,494480,1436020.0,105857.0,121414.0,88085.6,366988000,447.982,448.344,448.424,420.18,2872050.0,211714.0,242828.0,176171.0,733976000,918.404,737479000,1
991.715,0.89245,628726,0,0.0,0.0,0.012,11700,10920,0,972,1050,0,0,780,3772895,0,74,991.677,0.769346,628726,10968.8,911.25,984.375,731.25,3537090,0.68318,0.869062,0.878572,0.769346,21937.5,1822.5,1968.75,1462.5,7074180,1183.56,7101370,0
789.834,491.823,521747,117,5010.45,610010.0,0.133,1238060,1391130,284310,89748,103835,307125,228150,75080,323119588,1070725920,69,776.488,453.375,520249,1374570.0,101908.0,116541.0,84646.9,369845000,491.679,492.119,492.161,461.153,2749140.0,203816.0,233081.0,169294.0,739690000,966.249,743045000,1
494.377,0.946853,358722,1,2512.17,65866.0,0.012,19500,20150,2430,1620,1750,2625,1950,1300,3880976,989340,99,494.366,0.745328,358722,20109.4,1670.62,1804.69,1340.62,3700250,0.593446,0.914479,0.934888,0.745328,40218.8,3341.25,3609.38,2681.25,7400500,677.304,7450350,0
820.616,259.556,523941,157,3810.81,549499.0,0.185,1112838,1349010,381510,85050,95763,412125,306150,69978,296252751,1294283085,94,805.344,239.1,522660,1330300.0,103579.0,115536.0,84738.8,358630000,259.703,259.988,260.059,243.63,2660600.0,207158.0,231071.0,169478.0,717259000,969.755,720528000,1
