Mean Block Receive Time_x,Mean Block Size_y,Total average traffic/node,Label
835.038,690843,1300.03,0
802.486,526586,979.093,1
415.737,467254,880.802,0
811.681,536198,994.148,1
818.109,511759,949.606,1
664.741,513011,966.596,0
629.717,508738,943.456,1
840.607,354691,669.747,0
806.999,522566,968.333,1
776.533,507843,944.735,1
735.436,482218,908.86,0
495.441,464850,876.294,0
582.944,430499,811.887,0
834.939,690843,1300.03,0
367.962,385235,727.016,0
847.048,549057,1017.86,1
586.655,395836,746.894,0
580.113,594149,1118.73,0
533.21,360644,680.909,0
604.124,543394,1011.16,1
757.899,494480,918.404,1
826.597,535202,994.961,1
1153.61,495276,933.342,0
794.561,528119,979.916,1
580.678,591857,1114.43,0
810.795,531248,988.015,1
428.954,485281,914.602,0
810.434,508738,943.456,1
798.72,520927,968.594,1
802.487,526586,979.093,1
459.861,500534,943.202,0
452.054,651425,1226.12,0
751.396,508703,946.802,1
773.616,544183,1012.33,1
806.999,522566,968.333,1
504.96,457856,863.18,0
790.481,503872,935.035,1
806.999,522566,968.333,1
830.403,528404,982.408,1
757.899,494480,918.404,1
811.681,536198,994.148,1
802.487,526586,979.093,1
590.855,509506,960.024,0
452.127,651425,1226.12,0
461.327,389327,734.689,0
847.047,549057,1017.86,1
818.109,511759,949.606,1
415.739,467254,880.802,0
461.239,389327,734.689,0
1267.37,585971,1103.4,0
630.973,532384,989.667,1
790.478,503872,935.035,1
870.379,512707,948.277,1
574.253,579203,1090.71,0
586.669,395836,746.894,0
576.449,536471,994.27,1
517.102,590575,1112.03,0
452.992,565624,1065.25,0
789.682,527578,982.054,1
572.412,646172,1216.27,0
368.006,385235,727.016,0
810.435,508738,943.456,1
747.213,772806,1453.71,0
664.734,513011,966.596,0
428.159,598481,1126.85,0
542.998,457373,862.276,0
751.396,508703,946.802,1
527.751,635086,1195.49,0
370.11,610082,1148.6,0
761.996,495943,921.732,1
863.022,525413,972.545,1
794.365,542916,1008.87,1
490.677,625827,1178.13,0
851.698,519049,962.396,1
816.818,523363,974.214,1
423.234,392321,740.302,0
640.904,535380,995.159,1
554.532,413433,851.205,0
810.836,550899,1022.91,1
580.124,594149,1118.73,0
594.308,514001,953.239,1
743.345,543394,1011.16,1
499.318,430958,812.747,0
794.561,528119,979.916,1
459.833,500534,943.202,0
763.323,523515,973.376,1
654.741,519049,962.396,1
790.479,503872,935.035,1
743.345,543394,1011.16,1
785.881,521886,969.937,1
521.478,409274,772.09,0
816.817,523363,974.214,1
428.968,485281,914.602,0
773.71,515358,958.496,1
743.345,543394,1011.16,1
810.435,508738,943.456,1
559.675,522543,984.468,0
521.502,409274,772.09,0
527.733,635086,1195.49,0
518.913,658403,1239.21,0
580.04,594149,1118.73,0
819.567,537262,997.652,1
789.681,527578,982.054,1
449.129,668752,1258.61,0
927.986,622630,1172.13,0
372.085,537918,1013.3,0
789.834,520249,966.249,1
596.009,455996,859.692,0
840.707,354691,669.747,0
619.483,522566,968.333,1
459.776,411055,775.429,0
429.001,485281,914.602,0
891.48,500123,926.811,1
796.873,532384,989.667,1
582.874,430499,811.887,0
1267.62,585971,1103.4,0
459.882,500534,943.202,0
789.682,527578,982.054,1
580.927,789442,1484.9,0
834.996,690843,1300.03,0
798.887,517161,960.232,1
773.615,544183,1012.33,1
763.664,515166,956.665,1
820.373,508556,944.674,1
580.975,789442,1484.9,0
441.383,618543,1164.47,0
863.022,525413,972.545,1
452.08,651425,1226.12,0
452.881,565624,1065.25,0
864.448,528085,981.101,1
928.068,622630,1172.13,0
725.104,643812,1211.85,0
776.533,507843,944.735,1
810.836,550899,1022.91,1
690.333,454083,856.106,0
538.16,574545,1081.97,0
559.635,522543,984.468,0
833.265,529899,984.258,1
785.786,526855,981.3,1
596.015,455996,859.692,0
747.205,772806,1453.71,0
810.434,508738,943.456,1
746.151,414006,780.962,0
810.795,531248,988.015,1
490.758,625827,1178.13,0
476.463,565725,1065.44,0
799.729,525438,975.891,1
660.391,724237,1362.64,0
763.664,515166,956.665,1
530.997,421923,795.806,0
606.618,389539,735.085,0
785.786,526855,981.3,1
776.533,507843,944.735,1
798.721,520927,968.594,1
724.999,643812,1211.85,0
991.557,628726,1183.56,0
798.887,517161,960.232,1
840.669,354691,669.747,0
441.202,554224,1043.87,0
810.524,535380,995.159,1
771.126,532354,989.21,1
851.696,519049,962.396,1
774.623,546791,1016.43,1
580.95,789442,1484.9,0
811.679,536198,994.148,1
778.914,516325,959.627,1
750.286,463760,874.251,0
451.24,644458,1213.06,0
757.084,538811,1001.14,1
769.657,520566,964.881,1
799.309,537893,1001.38,1
518.888,658403,1239.21,0
580.822,789442,1484.9,0
864.449,528085,981.101,1
817.203,532586,989.706,1
517.539,475198,895.697,0
870.378,512707,948.277,1
775.611,527758,982.095,1
606.582,389539,735.085,0
457.981,569380,1072.29,0
781.226,522506,971.288,1
452.917,565624,1065.25,0
516.646,760126,1429.94,0
761.996,495943,921.732,1
750.417,463760,874.251,0
738.796,531169,989.392,1
763.665,515166,956.665,1
580.574,591857,1114.43,0
454.59,471388,888.553,0
864.306,522868,970.88,1
586.305,575478,1083.72,0
800.658,541816,1007.24,1
776.791,523058,968.953,1
471.891,584773,1101.15,0
774.624,546791,1016.43,1
368.017,385235,727.016,0
813.852,484144,897.906,1
457.978,569380,1072.29,0
738.795,531169,989.392,1
835.02,690843,1300.03,0
778.281,529385,982.101,1
830.521,505442,937.788,1
844.879,548020,1017.66,1
517.117,590575,1112.03,0
830.521,505442,937.788,1
864.307,522868,970.88,1
590.931,449659,847.811,0
585.989,605493,1140,0
532.038,509570,960.144,0
484.784,360376,680.406,0
531.962,509570,960.144,0
348.24,610693,1149.75,0
660.373,724237,1362.64,0
796.874,532384,989.667,1
741.852,507091,955.497,0
449.2,668752,1258.61,0
559.65,522543,984.468,0
533.187,360644,680.909,0
867.768,519778,963.011,1
771.126,532354,989.21,1
499.271,430958,812.747,0
766.712,527666,982.951,1
816.818,523363,974.214,1
735.415,482218,908.86,0
580.993,789442,1484.9,0
778.281,529385,982.101,1
810.524,535380,995.159,1
531.007,421923,795.806,0
819.758,558228,1051.38,0
841.869,534217,990.133,1
798.721,520927,968.594,1
518.191,519715,979.165,0
802.486,526586,979.093,1
757.899,494480,918.404,1
410.806,589718,1110.42,0
735.315,482218,908.86,0
789.682,527578,982.054,1
796.747,495498,919.284,1
844.878,548020,1017.66,1
428.882,485281,914.602,0
773.615,544183,1012.33,1
790.482,503872,935.035,1
738.796,531169,989.392,1
864.307,522868,970.88,1
1267.71,585971,1103.4,0
799.728,525438,975.891,1
370.111,610082,1148.6,0
773.616,544183,1012.33,1
532.076,509570,960.144,0
811.68,536198,994.148,1
810.837,550899,1022.91,1
817.863,545006,1008.24,1
518.767,658403,1239.21,0
457.943,569380,1072.29,0
769.011,536471,994.27,1
751.395,508703,946.802,1
841.869,534217,990.133,1
816.816,523363,974.214,1
483.51,407391,768.558,0
908.681,524168,969.633,1
660.506,724237,1362.64,0
