Miner Avg Block Size,Hash Rate,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic/node,Mean Block Size_x,Miner Avg Block Gen Interval,Label
0,0.012,0.686319,0.95523,1.04635,0.785594,1068.69,567459,0,0
0,0.009,0.686319,0.95523,1.04635,0.785594,1068.69,567459,0,0
0,0.005,0.686319,0.95523,1.04635,0.785594,1068.69,567459,0,0
0,0.005,0.686319,0.95523,1.04635,0.785594,1068.69,567459,0,0
0,0.002,0.686319,0.95523,1.04635,0.785594,1068.69,567459,0,0
0,0.002,0.686319,0.95523,1.04635,0.785594,1068.69,567459,0,0
0,0.289,0.660366,1.03343,1.104,0.792497,832.852,441681,0,0
322346,0.196,0.660366,1.03343,1.104,0.792497,832.852,441681,1828.26,0
604233,0.159,0.660366,1.03343,1.104,0.792497,832.852,441681,1159.54,0
0,0.133,0.660366,1.03343,1.104,0.792497,832.852,441681,0,0
0,0.066,0.660366,1.03343,1.104,0.792497,832.852,441681,0,0
0,0.054,0.660366,1.03343,1.104,0.792497,832.852,441681,0,0
192694,0.029,0.660366,1.03343,1.104,0.792497,832.852,441681,1238.76,0
0,0.016,0.660366,1.03343,1.104,0.792497,832.852,441681,0,0
0,0.012,0.660366,1.03343,1.104,0.792497,832.852,441681,0,0
0,0.012,0.660366,1.03343,1.104,0.792497,832.852,441681,0,0
0,0.012,0.660366,1.03343,1.104,0.792497,832.852,441681,0,0
0,0.009,0.660366,1.03343,1.104,0.792497,832.852,441681,0,0
0,0.005,0.660366,1.03343,1.104,0.792497,832.852,441681,0,0
0,0.005,0.660366,1.03343,1.104,0.792497,832.852,441681,0,0
0,0.002,0.660366,1.03343,1.104,0.792497,832.852,441681,0,0
0,0.002,0.660366,1.03343,1.104,0.792497,832.852,441681,0,0
388521,0.289,0.793949,1.12165,1.18168,0.888964,1300.03,690843,1032,0
0,0.196,0.793949,1.12165,1.18168,0.888964,1300.03,690843,0,0
699560,0.159,0.793949,1.12165,1.18168,0.888964,1300.03,690843,1168.84,0
0,0.133,0.793949,1.12165,1.18168,0.888964,1300.03,690843,0,0
0,0.066,0.793949,1.12165,1.18168,0.888964,1300.03,690843,0,0
949579,0.054,0.793949,1.12165,1.18168,0.888964,1300.03,690843,2886.15,0
0,0.029,0.793949,1.12165,1.18168,0.888964,1300.03,690843,0,0
0,0.016,0.793949,1.12165,1.18168,0.888964,1300.03,690843,0,0
0,0.012,0.793949,1.12165,1.18168,0.888964,1300.03,690843,0,0
0,0.012,0.793949,1.12165,1.18168,0.888964,1300.03,690843,0,0
0,0.012,0.793949,1.12165,1.18168,0.888964,1300.03,690843,0,0
0,0.009,0.793949,1.12165,1.18168,0.888964,1300.03,690843,0,0
0,0.005,0.793949,1.12165,1.18168,0.888964,1300.03,690843,0,0
0,0.005,0.793949,1.12165,1.18168,0.888964,1300.03,690843,0,0
0,0.002,0.793949,1.12165,1.18168,0.888964,1300.03,690843,0,0
0,0.002,0.793949,1.12165,1.18168,0.888964,1300.03,690843,0,0
123518,0.289,0.730172,1.02362,1.07408,0.803334,847.811,449659,1699.94,0
432630,0.196,0.730172,1.02362,1.07408,0.803334,847.811,449659,1575.48,0
901234,0.159,0.730172,1.02362,1.07408,0.803334,847.811,449659,2246.64,0
0,0.133,0.730172,1.02362,1.07408,0.803334,847.811,449659,0,0
0,0.066,0.730172,1.02362,1.07408,0.803334,847.811,449659,0,0
249881,0.054,0.730172,1.02362,1.07408,0.803334,847.811,449659,2607.51,0
0,0.029,0.730172,1.02362,1.07408,0.803334,847.811,449659,0,0
0,0.016,0.730172,1.02362,1.07408,0.803334,847.811,449659,0,0
0,0.012,0.730172,1.02362,1.07408,0.803334,847.811,449659,0,0
0,0.012,0.730172,1.02362,1.07408,0.803334,847.811,449659,0,0
0,0.012,0.730172,1.02362,1.07408,0.803334,847.811,449659,0,0
0,0.009,0.730172,1.02362,1.07408,0.803334,847.811,449659,0,0
0,0.005,0.730172,1.02362,1.07408,0.803334,847.811,449659,0,0
0,0.005,0.730172,1.02362,1.07408,0.803334,847.811,449659,0,0
0,0.002,0.730172,1.02362,1.07408,0.803334,847.811,449659,0,0
0,0.002,0.730172,1.02362,1.07408,0.803334,847.811,449659,0,0
875561,0.289,0.846427,1.20275,1.31332,0.937192,1484.9,789442,1742.47,0
686056,0.196,0.846427,1.20275,1.31332,0.937192,1484.9,789442,965.183,0
737422,0.159,0.846427,1.20275,1.31332,0.937192,1484.9,789442,222.333,0
996643,0.133,0.846427,1.20275,1.31332,0.937192,1484.9,789442,983.971,0
0,0.066,0.846427,1.20275,1.31332,0.937192,1484.9,789442,0,0
0,0.054,0.846427,1.20275,1.31332,0.937192,1484.9,789442,0,0
0,0.029,0.846427,1.20275,1.31332,0.937192,1484.9,789442,0,0
0,0.016,0.846427,1.20275,1.31332,0.937192,1484.9,789442,0,0
0,0.012,0.846427,1.20275,1.31332,0.937192,1484.9,789442,0,0
0,0.012,0.846427,1.20275,1.31332,0.937192,1484.9,789442,0,0
0,0.012,0.846427,1.20275,1.31332,0.937192,1484.9,789442,0,0
0,0.009,0.846427,1.20275,1.31332,0.937192,1484.9,789442,0,0
0,0.005,0.846427,1.20275,1.31332,0.937192,1484.9,789442,0,0
0,0.005,0.846427,1.20275,1.31332,0.937192,1484.9,789442,0,0
0,0.002,0.846427,1.20275,1.31332,0.937192,1484.9,789442,0,0
0,0.002,0.846427,1.20275,1.31332,0.937192,1484.9,789442,0,0
775319,0.289,0.628019,0.811891,0.859728,0.715855,966.596,513011,2344.92,0
0,0.196,0.628019,0.811891,0.859728,0.715855,966.596,513011,0,0
398462,0.159,0.628019,0.811891,0.859728,0.715855,966.596,513011,1270.78,0
490697,0.133,0.628019,0.811891,0.859728,0.715855,966.596,513011,856.859,0
404082,0.066,0.628019,0.811891,0.859728,0.715855,966.596,513011,2001.53,0
0,0.054,0.628019,0.811891,0.859728,0.715855,966.596,513011,0,0
393364,0.029,0.628019,0.811891,0.859728,0.715855,966.596,513011,5982.23,0
0,0.016,0.628019,0.811891,0.859728,0.715855,966.596,513011,0,0
0,0.012,0.628019,0.811891,0.859728,0.715855,966.596,513011,0,0
0,0.012,0.628019,0.811891,0.859728,0.715855,966.596,513011,0,0
0,0.012,0.628019,0.811891,0.859728,0.715855,966.596,513011,0,0
0,0.009,0.628019,0.811891,0.859728,0.715855,966.596,513011,0,0
0,0.005,0.628019,0.811891,0.859728,0.715855,966.596,513011,0,0
0,0.005,0.628019,0.811891,0.859728,0.715855,966.596,513011,0,0
0,0.002,0.628019,0.811891,0.859728,0.715855,966.596,513011,0,0
0,0.002,0.628019,0.811891,0.859728,0.715855,966.596,513011,0,0
440721,0.289,0.592206,0.68474,0.740479,0.633862,851.205,423412,1499.92,0
0,0.196,0.592206,0.68474,0.740479,0.633862,851.205,412685,0,0
0,0.159,0.592206,0.68474,0.740479,0.633862,851.205,412685,0,0
254032,0.133,0.592206,0.68474,0.740479,0.633862,851.205,412685,1541.92,0
0,0.066,0.592206,0.68474,0.740479,0.633862,851.205,412685,0,0
0,0.054,0.592206,0.68474,0.740479,0.633862,851.205,412685,0,0
0,0.029,0.592206,0.68474,0.740479,0.633862,851.205,412685,0,0
0,0.016,0.592206,0.68474,0.740479,0.633862,851.205,412685,0,0
0,0.012,0.592206,0.68474,0.740479,0.633862,851.205,412685,0,0
747825,0.012,0.592206,0.68474,0.740479,0.633862,851.205,412685,1687.03,0
368520,0.012,0.592206,0.68474,0.740479,0.633862,851.205,412685,3880.77,0
0,0.009,0.592206,0.68474,0.740479,0.633862,851.205,412685,0,0
0,0.005,0.592206,0.68474,0.740479,0.633862,851.205,412685,0,0
0,0.005,0.592206,0.68474,0.740479,0.633862,851.205,412685,0,0
0,0.002,0.592206,0.68474,0.740479,0.633862,851.205,412685,0,0
0,0.002,0.592206,0.68474,0.740479,0.633862,851.205,412685,0,0
747282,0.289,0.664209,0.971515,0.990242,0.791796,1126.21,598137,2814.53,0
192405,0.196,0.664209,0.971515,0.990242,0.791796,1126.21,598137,1860.51,0
584655,0.159,0.664209,0.971515,0.990242,0.791796,1126.21,598137,533.565,0
635666,0.133,0.664209,0.971515,0.990242,0.791796,1126.21,598137,2724.64,0
749564,0.066,0.664209,0.971515,0.990242,0.791796,1126.21,598137,4641.2,0
213926,0.054,0.664209,0.971515,0.990242,0.791796,1126.21,598137,2088.47,0
0,0.029,0.664209,0.971515,0.990242,0.791796,1126.21,598137,0,0
917235,0.016,0.664209,0.971515,0.990242,0.791796,1126.21,598137,5164.29,0
0,0.012,0.664209,0.971515,0.990242,0.791796,1126.21,598137,0,0
0,0.012,0.664209,0.971515,0.990242,0.791796,1126.21,598137,0,0
0,0.012,0.664209,0.971515,0.990242,0.791796,1126.21,598137,0,0
0,0.009,0.664209,0.971515,0.990242,0.791796,1126.21,598137,0,0
0,0.005,0.664209,0.971515,0.990242,0.791796,1126.21,598137,0,0
0,0.005,0.664209,0.971515,0.990242,0.791796,1126.21,598137,0,0
0,0.002,0.664209,0.971515,0.990242,0.791796,1126.21,598137,0,0
0,0.002,0.664209,0.971515,0.990242,0.791796,1126.21,598137,0,0
201440,0.289,0.68801,1.0007,1.03476,0.774796,734.689,389327,2441.9,0
